DAUID,POPDENSE
10010165,1326.3
10010166,3427.7
10010167,3407.1
10010168,2743.5
10010169,4705
10010170,2678.8
10010171,3781.3
10010172,2716.3
10010173,3508.7
10010174,3733.2
10010175,3625.1
10010176,1894.5
10010180,305.9
10010181,1998.9
10010182,3572.1
10010187,2761.5
10010191,82.5
10010192,2290.9
10010193,1669.6
10010194,250.9
10010195,1036.8
10010196,1937.6
10010198,4171.5
10010199,2803.3
10010200,2640.1
10010201,3034.7
10010202,4192.6
10010203,2606.1
10010204,2806
10010206,1873.7
10010207,3598.7
10010208,708.6
10010209,2360.6
10010210,1464.6
10010211,3073.2
10010212,2307.3
10010213,3832
10010214,3844.5
10010215,2884.2
10010216,3284.8
10010217,2440.7
10010218,3373.3
10010219,1663.6
10010220,1345.5
10010221,3120.4
10010222,1679.9
10010223,2524.4
10010224,5039.6
10010225,5368.9
10010226,4236.3
10010227,6921.7
10010228,3501.4
10010229,5272.3
10010230,6310.2
10010231,4972.7
10010232,5256.2
10010233,3001.6
10010234,4587.8
10010235,3223.8
10010236,4809.2
10010237,1340.4
10010238,2321.2
10010239,5026.8
10010240,3236.9
10010241,3335.7
10010242,3654
10010243,187.8
10010244,1253.5
10010245,3806.1
10010246,2873.8
10010247,2382.1
10010248,2411.1
10010249,192.4
10010250,924.9
10010251,2927
10010252,2631.3
10010253,1334
10010254,1727.9
10010255,2569.5
10010256,1641.1
10010257,2196.5
10010258,2435.2
10010259,3424.6
10010260,2320.9
10010261,2630.5
10010262,3818.7
10010263,3184.6
10010264,3053.7
10010265,3178.8
10010266,2561.5
10010267,2138.3
10010268,1551.5
10010269,3093.3
10010270,1688.4
10010271,871.1
10010272,2165.2
10010273,1786
10010276,2807
10010277,2800.5
10010278,3580
10010279,881.1
10010280,7518.6
10010281,5478.8
10010282,78.4
10010283,1546.7
10010284,1814
10010285,1249.6
10010286,1967.5
10010290,5936.7
10010294,1407.3
10010295,6582.5
10010296,7194.2
10010297,3470.8
10010298,2533.2
10010299,5750.3
10010300,6653.5
10010301,1062.5
10010302,4889.4
10010303,7280.9
10010304,5225
10010305,4295.8
10010306,1546.3
10010307,1547.4
10010308,6243.4
10010309,2538.4
10010310,1567
10010334,165.1
10010337,3401.5
10010338,2533.4
10010339,2389.6
10010340,3100.5
10010341,1801.9
10010342,2630.9
10010343,3828.8
10010344,3710.3
10010345,676.5
10010346,3828.5
10010348,934.7
10010356,2400.1
10010357,377.9
10010457,1794.4
10010458,4818.8
10010459,2211.5
10010460,1955.7
10010461,2941.2
10010482,924.3
10010484,1359
10010485,3137.4
10010486,517
10010488,3853
10010489,3253.5
10010490,1117.8
10010491,518.5
10010492,3537.8
10010493,540
10010494,3519.9
10010495,2676.2
10010496,29.5
10010497,5.2
10010498,43.7
10010499,3
10010500,21.2
10010501,3.2
10010502,17.4
10010503,39.2
10010504,6.9
10010505,161.6
10010506,80
10010507,387.7
10010508,70.1
10010509,114.3
10010510,748.9
10010511,1055.4
10010512,552.6
10010513,556.4
10010514,1099.5
10010515,239
10010516,758.2
10010517,190.6
10010518,648.6
10010519,289.7
10010520,4.8
10010521,319.9
10010522,162.7
10010523,899.6
10010524,28.7
10010525,200.8
10010526,60.3
10010527,57.8
10010528,0
10010529,159.9
10010530,119.7
10010531,152
10010532,503.4
10010533,277
10010534,80.9
10010535,191.5
10010536,602.2
10010537,642.3
10010538,592.7
10010539,569
10010540,467.1
10010541,397.5
10010542,114.4
10010543,148.5
10010544,113.5
10010545,0
10010546,137.7
10010547,92.8
10010548,274.8
10010549,107.1
10010550,148
10010551,78.1
10010552,51.4
10010553,40.9
10010554,163.1
10010555,99.1
10010556,19.1
10010557,28.5
10010558,72.6
10010559,38
10010560,24.9
10010561,27.4
10010562,21.4
10010563,30.3
10010564,42.2
10010565,135
10010566,100.2
10010567,98.7
10010568,212.7
10010569,229.3
10010570,206.8
10010571,76.5
10010572,1044.4
10010573,994
10010574,773.9
10010575,245.1
10010576,1403.8
10010577,958.3
10010578,888.6
10010579,945.9
10010580,587.9
10010581,1740.3
10010582,727.9
10010583,1414.6
10010584,983.9
10010585,1195.6
10010586,548.6
10010587,678.1
10010588,703.7
10010589,949
10010590,453.6
10010591,655.4
10010592,52
10010593,373.5
10010594,3252
10010595,1623.6
10010596,2150.9
10010597,1907.8
10010598,1323.8
10010599,620
10010600,1444.7
10010601,1537.2
10010602,610.4
10010603,1570.3
10010604,732.9
10010605,315
10010606,885.6
10010607,1556.2
10010608,1785.9
10010609,402.5
