"","start_date","t_trip","strike","time"
"1","30-Jul-10",5836,"0",1
"2","31-Jul-10",4739,"0",2
"3","01-Aug-10",3756,"0",3
"4","02-Aug-10",5997,"0",4
"5","03-Aug-10",7257,"0",5
"6","04-Aug-10",7201,"0",6
"7","05-Aug-10",7989,"0",7
"8","06-Aug-10",8883,"0",8
"9","07-Aug-10",5946,"0",9
"10","08-Aug-10",7156,"0",10
"11","09-Aug-10",8142,"0",11
"12","10-Aug-10",5713,"0",12
"13","11-Aug-10",13491,"0",13
"14","12-Aug-10",12256,"0",14
"15","13-Aug-10",11082,"0",15
"16","14-Aug-10",8075,"0",16
"17","15-Aug-10",9928,"0",17
"18","16-Aug-10",14237,"0",18
"19","17-Aug-10",14374,"0",19
"20","18-Aug-10",15488,"0",20
"21","19-Aug-10",16094,"0",21
"22","20-Aug-10",15407,"0",22
"23","21-Aug-10",10502,"0",23
"24","22-Aug-10",9226,"0",24
"25","23-Aug-10",12274,"0",25
"26","24-Aug-10",15938,"0",26
"27","25-Aug-10",9407,"0",27
"28","26-Aug-10",9372,"0",28
"29","27-Aug-10",12064,"0",29
"30","28-Aug-10",9176,"0",30
"31","29-Aug-10",7079,"0",31
"32","30-Aug-10",9771,"0",32
"33","31-Aug-10",16628,"0",33
"34","01-Sep-10",18320,"0",34
"35","02-Sep-10",19818,"0",35
"36","03-Sep-10",18873,"0",36
"37","04-Sep-10",13101,"0",37
"38","05-Sep-10",11924,"0",38
"39","06-Sep-10",16058,"1",39
"40","07-Sep-10",23988,"1",40
"41","08-Sep-10",17923,"1",41
"42","09-Sep-10",19818,"1",42
"43","10-Sep-10",18552,"1",43
"44","11-Sep-10",12170,"1",44
"45","12-Sep-10",13003,"1",45
"46","13-Sep-10",17341,"1",46
"47","14-Sep-10",16385,"1",47
"48","15-Sep-10",19956,"1",48
"49","16-Sep-10",19610,"1",49
"50","17-Sep-10",19534,"1",50
"51","18-Sep-10",14245,"1",51
"52","19-Sep-10",10581,"1",52
"53","20-Sep-10",19354,"1",53
"54","21-Sep-10",21816,"1",54
"55","22-Sep-10",22861,"1",55
"56","23-Sep-10",17015,"1",56
"57","24-Sep-10",17145,"1",57
"58","25-Sep-10",12925,"1",58
"59","26-Sep-10",7184,"1",59
"60","27-Sep-10",18075,"1",60
"61","28-Sep-10",20773,"1",61
"62","29-Sep-10",13345,"1",62
"63","30-Sep-10",20876,"1",63
"64","01-Oct-10",10714,"1",64
"65","02-Oct-10",9818,"1",65
"66","03-Oct-10",7570,"1",66
"67","04-Oct-10",22712,"2",67
"68","05-Oct-10",21172,"2",68
"69","06-Oct-10",19193,"2",69
"70","07-Oct-10",23044,"2",70
"71","08-Oct-10",21556,"2",71
"72","09-Oct-10",13212,"2",72
"73","10-Oct-10",13661,"2",73
"74","11-Oct-10",21176,"2",74
"75","12-Oct-10",22173,"2",75
"76","13-Oct-10",21420,"2",76
"77","14-Oct-10",20701,"2",77
"78","15-Oct-10",19904,"2",78
"79","16-Oct-10",11652,"2",79
"80","17-Oct-10",11725,"2",80
"81","18-Oct-10",19720,"2",81
"82","19-Oct-10",17300,"2",82
"83","20-Oct-10",19887,"2",83
"84","21-Oct-10",20340,"2",84
"85","22-Oct-10",19141,"2",85
"86","23-Oct-10",10558,"2",86
"87","24-Oct-10",10374,"2",87
"88","25-Oct-10",17717,"2",88
"89","26-Oct-10",13479,"2",89
"90","27-Oct-10",18838,"2",90
"91","28-Oct-10",19034,"2",91
"92","29-Oct-10",18200,"2",92
"93","30-Oct-10",12281,"2",93
"94","31-Oct-10",7659,"2",94
"95","01-Nov-10",18981,"2",95
